Date,Close,Open,High,Low,Volume,% var.
07/12/2018,"8,550","8,510","8,740","8,460","900,15K","0,83%"
10/12/2018,"8,330","8,500","8,500","8,290","1,05M","-2,57%"
11/12/2018,"8,530","8,400","8,590","8,320","1,11M","2,40%"
12/12/2018,"8,780","8,530","8,800","8,460","755,32K","2,93%"
13/12/2018,"8,580","8,730","8,760","8,430","1,64M","-2,28%"
14/12/2018,"8,620","8,500","8,690","8,430","1,04M","0,47%"
17/12/2018,"8,590","8,620","8,730","8,510","1,01M","-0,35%"
18/12/2018,"8,600","8,560","8,680","8,510","1,20M","0,12%"
19/12/2018,"8,570","8,660","8,680","8,530","1,07M","-0,35%"
20/12/2018,"8,410","8,500","8,500","8,340","1,27M","-1,87%"
21/12/2018,"8,550","8,450","8,700","8,450","3,11M","1,66%"
24/12/2018,"8,580","8,450","8,640","8,450","363,18K","0,35%"
27/12/2018,"8,410","8,680","8,750","8,330","1,26M","-1,98%"
28/12/2018,"8,440","8,490","8,590","8,440","2,25M","0,36%"
31/12/2018,"8,660","8,480","8,740","8,470","413,43K","2,61%"
02/01/2019,"8,580","8,640","8,640","8,350","860,86K","-0,92%"
03/01/2019,"8,410","8,530","8,580","8,400","860,69K","-1,98%"
04/01/2019,"8,880","8,520","8,900","8,510","1,66M","5,59%"
07/01/2019,"8,980","8,990","9,050","8,780","1,21M","1,13%"
08/01/2019,"9,200","8,970","9,340","8,970","3,25M","2,45%"
09/01/2019,"9,360","9,360","9,500","9,280","2,32M","1,74%"
10/01/2019,"9,220","9,300","9,350","9,060","1,18M","-1,50%"
11/01/2019,"9,200","9,290","9,330","9,120","779,91K","-0,22%"
14/01/2019,"9,070","9,090","9,170","9,010","782,19K","-1,41%"
15/01/2019,"9,160","9,180","9,290","9,090","1,25M","0,99%"
16/01/2019,"9,330","9,250","9,330","9,180","792,32K","1,86%"
17/01/2019,"9,310","9,310","9,330","9,130","575,52K","-0,21%"
18/01/2019,"9,490","9,360","9,540","9,360","1,08M","1,93%"
21/01/2019,"9,370","9,520","9,540","9,370","766,73K","-1,26%"
22/01/2019,"9,120","9,280","9,280","9,120","3,23M","-2,67%"
23/01/2019,"9,060","9,020","9,210","9,020","1,12M","-0,66%"
24/01/2019,"9,180","9,090","9,230","9,040","768,27K","1,32%"
25/01/2019,"9,400","9,220","9,440","9,170","1,49M","2,40%"
28/01/2019,"9,440","9,390","9,460","9,310","1,45M","0,43%"
29/01/2019,"9,400","9,460","9,460","9,400","1,05M","-0,42%"
30/01/2019,"9,360","9,440","9,570","9,360","1,21M","-0,43%"
31/01/2019,"9,500","9,310","9,510","9,250","1,25M","1,50%"
01/02/2019,"9,550","9,530","9,620","9,460","1,33M","0,53%"
04/02/2019,"9,510","9,550","9,550","9,400","699,95K","-0,42%"
05/02/2019,"9,580","9,530","9,580","9,460","772,49K","0,74%"
06/02/2019,"9,640","9,580","9,690","9,570","1,42M","0,63%"
07/02/2019,"9,350","9,620","9,620","9,350","1,89M","-3,01%"
08/02/2019,"9,130","9,320","9,340","9,090","831,55K","-2,35%"
11/02/2019,"9,140","9,210","9,270","9,110","885,59K","0,11%"
12/02/2019,"9,130","9,250","9,270","9,110","773,96K","-0,11%"
13/02/2019,"9,400","9,140","9,430","9,140","790,22K","2,96%"
14/02/2019,"9,390","9,440","9,510","9,350","790,77K","-0,11%"
15/02/2019,"9,490","9,340","9,560","9,270","719,60K","1,06%"
18/02/2019,"9,590","9,560","9,610","9,500","868,50K","1,05%"
19/02/2019,"9,550","9,530","9,630","9,500","1,02M","-0,42%"
20/02/2019,"9,710","9,600","9,730","9,530","667,90K","1,68%"
21/02/2019,"9,660","9,730","9,740","9,630","541,88K","-0,51%"
22/02/2019,"9,730","9,670","9,840","9,670","824,91K","0,72%"
25/02/2019,"9,650","9,800","9,890","9,630","987,96K","-0,82%"
26/02/2019,"9,570","9,600","9,610","9,520","2,34M","-0,83%"
27/02/2019,"9,600","9,570","9,640","9,510","964,47K","0,31%"
28/02/2019,"9,310","9,600","9,600","9,250","1,73M","-3,02%"
01/03/2019,"9,280","9,410","9,410","9,270","1,27M","-0,32%"
04/03/2019,"9,500","9,350","9,590","9,340","1,05M","2,37%"
05/03/2019,"9,460","9,510","9,640","9,410","784,68K","-0,42%"
06/03/2019,"9,420","9,420","9,490","9,390","619,38K","-0,42%"
07/03/2019,"9,140","9,420","9,420","9,140","1,45M","-2,97%"
08/03/2019,"8,890","9,120","9,120","8,830","1,62M","-2,74%"
11/03/2019,"8,960","8,920","8,980","8,870","1,08M","0,79%"
12/03/2019,"9,080","9,050","9,190","9,030","678,28K","1,34%"
13/03/2019,"9,130","9,080","9,150","9,060","986,67K","0,55%"
14/03/2019,"9,110","9,120","9,260","9,110","584,71K","-0,22%"
15/03/2019,"9,110","9,150","9,180","9,060","1,18M","0,00%"
18/03/2019,"9,220","9,170","9,320","9,170","739,81K","1,21%"
19/03/2019,"9,380","9,220","9,430","9,180","858,63K","1,74%"
20/03/2019,"9,170","9,300","9,370","9,170","719,37K","-2,24%"
21/03/2019,"9,160","9,210","9,310","9,150","587,14K","-0,11%"
22/03/2019,"8,840","9,200","9,210","8,810","991,11K","-3,49%"
25/03/2019,"8,750","8,780","8,810","8,660","828,18K","-1,02%"
26/03/2019,"8,770","8,760","8,820","8,690","509,11K","0,23%"
27/03/2019,"8,710","8,820","8,880","8,670","848,64K","-0,68%"
28/03/2019,"8,660","8,800","8,810","8,650","552,10K","-0,57%"
29/03/2019,"8,830","8,770","8,940","8,750","1,17M","1,96%"
01/04/2019,"9,160","8,970","9,190","8,970","1,55M","3,74%"
02/04/2019,"9,190","9,190","9,300","9,130","838,19K","0,33%"
03/04/2019,"9,340","9,350","9,450","9,280","864,98K","1,63%"
04/04/2019,"9,320","9,300","9,390","9,220","607,96K","-0,21%"
05/04/2019,"9,380","9,370","9,470","9,300","758,83K","0,64%"
08/04/2019,"9,270","9,400","9,430","9,210","767,91K","-1,17%"
09/04/2019,"9,210","9,270","9,350","9,210","560,55K","-0,65%"
10/04/2019,"9,250","9,210","9,410","9,200","993,70K","0,43%"
11/04/2019,"9,280","9,240","9,320","9,210","595,10K","0,32%"
12/04/2019,"9,470","9,310","9,480","9,160","1,34M","2,05%"
15/04/2019,"9,450","9,480","9,550","9,440","1,01M","-0,21%"
16/04/2019,"9,520","9,490","9,560","9,440","952,19K","0,74%"
17/04/2019,"9,730","9,520","9,800","9,500","858,54K","2,21%"
18/04/2019,"9,770","9,770","9,800","9,580","905,20K","0,41%"
23/04/2019,"9,570","9,780","9,790","9,570","914,88K","-2,05%"
24/04/2019,"9,520","9,630","9,760","9,480","810,07K","-0,52%"
25/04/2019,"9,470","9,460","9,650","9,320","1,45M","-0,53%"
26/04/2019,"9,330","9,490","9,490","9,300","1,38M","-1,48%"
29/04/2019,"9,380","9,300","9,400","9,290","396,67K","0,54%"
30/04/2019,"9,270","9,340","9,390","9,260","878,32K","-1,17%"
02/05/2019,"9,080","9,320","9,320","9,070","864,58K","-2,05%"
03/05/2019,"9,070","9,150","9,150","9,020","916,14K","-0,11%"
06/05/2019,"9,070","8,920","9,100","8,740","1,13M","0,00%"
07/05/2019,"8,850","9,090","9,090","8,820","1,10M","-2,43%"
08/05/2019,"8,870","8,920","8,960","8,770","1,25M","0,23%"
09/05/2019,"8,590","8,900","8,900","8,540","2,09M","-3,16%"
10/05/2019,"8,640","8,770","8,770","8,600","960,03K","0,58%"
13/05/2019,"8,500","8,700","8,800","8,500","1,30M","-1,62%"
14/05/2019,"8,890","8,670","8,920","8,650","1,31M","4,59%"
15/05/2019,"8,890","8,990","8,990","8,680","2,29M","0,00%"
16/05/2019,"8,980","8,890","9,010","8,800","887,17K","1,01%"
17/05/2019,"8,860","8,990","8,990","8,810","892,33K","-1,34%"
20/05/2019,"8,690","8,870","8,870","8,630","831,69K","-1,92%"
21/05/2019,"8,780","8,750","8,810","8,650","772,85K","1,04%"
22/05/2019,"8,660","8,820","8,840","8,650","1,04M","-1,37%"
23/05/2019,"8,450","8,620","8,630","8,400","1,32M","-2,42%"
24/05/2019,"8,670","8,470","8,670","8,470","885,99K","2,60%"
27/05/2019,"8,740","8,770","8,810","8,730","544,75K","0,81%"
28/05/2019,"8,620","8,790","8,800","8,620","1,05M","-1,37%"
29/05/2019,"8,390","8,540","8,540","8,350","1,91M","-2,67%"
30/05/2019,"8,540","8,460","8,600","8,420","882,28K","1,79%"
31/05/2019,"8,460","8,470","8,470","8,310","1,30M","-0,94%"
03/06/2019,"8,170","8,200","8,220","7,900","1,50M","-3,43%"
04/06/2019,"8,400","8,150","8,430","8,100","1,24M","2,82%"
05/06/2019,"8,250","8,410","8,410","8,180","1,33M","-1,79%"
06/06/2019,"8,300","8,290","8,380","8,250","833,09K","0,61%"
07/06/2019,"8,300","8,340","8,400","8,270","614,88K","0,00%"
10/06/2019,"8,570","8,300","8,570","8,300","610,68K","3,25%"
11/06/2019,"8,790","8,570","8,860","8,540","1,28M","2,57%"
12/06/2019,"8,660","8,700","8,810","8,590","864,19K","-1,48%"
13/06/2019,"8,730","8,730","8,760","8,600","584,14K","0,81%"
14/06/2019,"8,580","8,720","8,730","8,510","604,72K","-1,72%"
17/06/2019,"8,560","8,580","8,650","8,440","524,69K","-0,23%"
18/06/2019,"8,820","8,540","8,850","8,440","782,82K","3,04%"
19/06/2019,"8,740","8,810","8,910","8,680","817,49K","-0,91%"
20/06/2019,"8,790","8,800","8,880","8,720","717,76K","0,57%"
21/06/2019,"8,810","8,770","8,880","8,770","1,19M","0,23%"
24/06/2019,"8,500","8,590","8,670","8,450","366,37K","-3,52%"
25/06/2019,"8,490","8,490","8,600","8,420","417,71K","-0,12%"
26/06/2019,"8,650","8,500","8,730","8,500","768,91K","1,88%"
27/06/2019,"8,720","8,680","8,770","8,640","1,22M","0,81%"
28/06/2019,"8,630","8,730","8,740","8,590","814,85K","-1,03%"
01/07/2019,"8,830","8,790","8,870","8,760","1,01M","2,32%"
02/07/2019,"8,480","8,830","8,830","8,390","1,72M","-3,96%"
03/07/2019,"8,440","8,600","8,600","8,360","979,91K","-0,47%"
04/07/2019,"8,410","8,420","8,550","8,410","676,61K","-0,36%"
05/07/2019,"8,220","8,410","8,410","8,200","1,36M","-2,26%"
08/07/2019,"8,260","8,240","8,410","8,210","1,13M","0,49%"
09/07/2019,"7,970","8,220","8,220","7,950","1,57M","-3,51%"
10/07/2019,"8,000","7,980","8,130","7,980","1,02M","0,38%"
11/07/2019,"7,880","8,020","8,020","7,860","1,07M","-1,50%"
12/07/2019,"7,930","7,930","8,040","7,890","594,82K","0,63%"
15/07/2019,"7,930","7,990","8,040","7,910","885,66K","0,00%"
16/07/2019,"8,050","7,930","8,060","7,930","764,09K","1,51%"
17/07/2019,"7,830","7,970","7,980","7,810","1,10M","-2,73%"
18/07/2019,"7,790","7,810","7,860","7,740","866,77K","-0,51%"
19/07/2019,"7,910","7,870","7,940","7,830","919,34K","1,54%"
22/07/2019,"7,970","7,920","8,040","7,920","852,25K","0,76%"
23/07/2019,"8,150","8,040","8,220","8,030","1,55M","2,26%"
24/07/2019,"8,180","8,230","8,250","8,060","555,40K","0,37%"
25/07/2019,"7,990","8,170","8,290","7,910","949,96K","-2,32%"
26/07/2019,"7,600","8,000","8,000","7,500","1,39M","-4,88%"
29/07/2019,"7,640","7,660","7,660","7,550","937,30K","0,53%"
